0.319,0.326,0.332,0.337,0.345,0.352,0.357,0.362,0.406,0.455,0.503,0.553,0.603,0.654,0.703,0.755,0.803,0.853,0.903,0.953,1.003,1.055,1.104,1.153,1.203,1.254,1.305,1.354,1.404,1.453,1.503,1.555,1.605,1.653,1.704,1.753,1.803,1.853,1.904,1.953,2.003,2.053,2.103,2.153,2.203,2.253,2.304,2.353,2.405,2.453,2.503,2.554,2.603,2.653,2.703,2.754,2.803,2.853,2.903,2.953,3.003,3.054,3.103,3.154,3.203,3.255,3.303,3.353,3.403,3.455,3.505,3.555,3.603,3.653,3.703,3.754,3.803,3.853,3.904,3.953,4.003,4.053,4.103,4.153,4.203,4.253,4.303,4.355,4.403,4.453,4.503,4.555,4.603,4.653,4.703,4.754,4.803,4.853,4.903,4.954,5.003,5.053,5.104,5.153,5.203,5.253,5.304,5.353,5.403,5.453,5.503,5.554,5.603,5.654,5.703,5.754,5.804,5.855,5.904,5.953,6.005,6.053,6.104,6.153,6.204,6.254,6.303,6.353,6.403,6.453,6.504,6.553,6.604,6.653,6.704,6.754,6.803,6.853,6.903,6.953,7.004,7.053,7.103,7.154,7.204,7.254,7.303,7.353,7.403,7.453,7.504,7.555,7.604,7.653,7.703,7.754,7.804,7.854,7.903,7.953,8.003,8.053,8.103,8.154,8.203,8.253,8.304,8.355,8.403,8.453,8.504,8.555,8.603,8.653,8.704,8.754,8.803,8.854,8.903,8.953,9.004,9.053,9.103,9.154,9.203,9.254,9.303,9.353,9.404,9.453,9.504,9.553,9.603,9.653,9.703,9.753,9.803,9.853,9.904,9.953,10.004,10.053,10.104,10.154,10.203,10.254,10.304,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,8.80833e-07,2.61472e-06,5.16336e-06,8.47834e-06,1.25017e-05,1.71667e-05,2.23979e-05,2.81128e-05,3.42218e-05,4.06295e-05,4.72353e-05,5.39348e-05,6.06198e-05,6.71803e-05,7.35047e-05,7.94809e-05,8.49976e-05,8.99448e-05,9.42149e-05,9.77033e-05,0.00010031,0.000101939,0.0001025,0.000101911,0.000100093,9.69777e-05,9.25036e-05,8.66173e-05,7.92743e-05,7.04389e-05,6.00848e-05,4.81946e-05,3.47602e-05,1.97829e-05,3.27292e-06,-1.47507e-05,-3.42602e-05,-5.52197e-05,-7.75852e-05,-0.000101305,-0.000126323,-0.000152572,-0.000179983,-0.000208482,-0.000237988,-0.000268418,-0.000299687,-0.000331705,-0.000364385,-0.000397634,-0.000431365,-0.000465486,-0.000499911,-0.000534555,-0.000569336,-0.000604174,-0.000638996,-0.000673732,-0.000708319,-0.000742698,-0.000776816,-0.00081063,-0.000844099,-0.000877194,-0.000909889,-0.000942168,-0.000974021,-0.00100545,-0.00103645,-0.00106705,-0.00109726,-0.0011271,-0.00115661,-0.00118584,-0.00121482,-0.0012436,-0.00127224,-0.0013008,-0.00132934,-0.00135793,-0.00138663,-0.00141552,-0.00144466,-0.00147414,-0.00150402,-0.00153437,-0.00156527,-0.00159679,-0.00162898,-0.00166193,-0.00169568,-0.0017303,-0.00176584,-0.00180234,-0.00183985,-0.00187842,-0.00191807,-0.00195882,-0.00200071,-0.00204375,-0.00208795,-0.0021333,-0.00217982,-0.00222748,-0.00227629,-0.00232621,-0.00237722,-0.0024293,-0.0024824,-0.0025365,-0.00259154,-0.00264749,-0.00270428,-0.00276188,-0.00282022,-0.00287925,-0.00293891,-0.00299914,-0.00305989,-0.00312109,-0.00318269,-0.00324463,-0.00330686,-0.00336933,-0.00343198,-0.00349476,-0.00355764,-0.00362057,-0.00368352,-0.00374645,-0.00380933,-0.00387214,-0.00393486,-0.00399748,-0.00405999,-0.00412238,-0.00418465,-0.0042468,-0.00430886,-0.00437082,-0.00443271,-0.00449455,-0.00455637,-0.0046182,-0.00468007,-0.00474201,-0.00480407,-0.00486629,-0.0049287,-0.00499136,-0.00505432,-0.00511761,-0.00518128,-0.00524539,-0.00530997,-0.00537508,-0.00544076,-0.00550705,-0.00557399,-0.00564162,-0.00570999,-0.00577912,-0.00584904,-0.00591978,-0.00599137,-0.00606382,-0.00613716,-0.00621139,-0.00628653,-0.00636258,-0.00643954,-0.00651742,-0.00659619,-0.00667586,-0.00675641,-0.00683782,-0.00692008,-0.00700315,-0.00708702,-0.00717166,-0.00725703,-0.0073431,-0.00742985,-0.00751722,-0.0076052,-0.00769373,-0.00778278,-0.00787232,-0.0079623,-0.00805269,-0.00814345,-0.00823454,-0.00832594,-0.00841761,-0.00850952,-0.00860164,-0.00869395,-0.00878642,-0.00887903,-0.00897177,-0.00906462,-0.00915756,-0.0092506,-0.00934372,-0.00943692,-0.0095302,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.00176167,0.00346778,0.00509727,0.00662998,0.00804679,0.00932983,0.0104625,0.0114297,0.012218,0.0128154,0.0132118,0.0133989,0.0133701,0.013121,0.0126487,0.0119525,0.0110334,0.00989437,0.00854004,0.00697687,0.00521296,0.00325797,0.00112304,-0.00117933,-0.0036354,-0.00623032,-0.00894828,-0.0117726,-0.014686,-0.0176707,-0.0207083,-0.0237805,-0.0268687,-0.0299546,-0.03302,-0.0360473,-0.039019,-0.0419189,-0.044731,-0.0474406,-0.0500341,-0.0524986,-0.0548229,-0.0569969,-0.0590119,-0.0608606,-0.0625372,-0.0640375,-0.0653587,-0.0664996,-0.0674604,-0.0682429,-0.0688505,-0.0692877,-0.0695606,-0.0696766,-0.069644,-0.0694727,-0.0691733,-0.0687574,-0.0682376,-0.067627,-0.0669393,-0.0661888,-0.0653901,-0.0645579,-0.0637073,-0.0628529,-0.0620096,-0.0611917,-0.0604134,-0.0596881,-0.0590287,-0.0584475,-0.0579559,-0.0575644,-0.0572825,-0.0571188,-0.0570807,-0.0571745,-0.0574052,-0.0577769,-0.0582921,-0.0589523,-0.0597579,-0.0607076,-0.0617995,-0.0630301,-0.0643951,-0.0658888,-0.0675048,-0.0692356,-0.0710729,-0.0730076,-0.0750299,-0.0771294,-0.0792952,-0.0815159,-0.0837798,-0.0860752,-0.0883901,-0.0907123,-0.0930301,-0.0953317,-0.0976057,-0.099841,-0.102027,-0.104154,-0.106212,-0.108192,-0.110087,-0.111889,-0.113592,-0.11519,-0.11668,-0.118057,-0.11932,-0.120465,-0.121494,-0.122406,-0.123203,-0.123887,-0.124461,-0.12493,-0.125298,-0.125572,-0.125757,-0.12586,-0.125891,-0.125855,-0.125763,-0.125624,-0.125446,-0.125239,-0.125012,-0.124776,-0.12454,-0.124314,-0.124106,-0.123927,-0.123783,-0.123685,-0.123639,-0.123653,-0.123734,-0.123887,-0.124118,-0.124432,-0.124832,-0.125322,-0.125904,-0.126579,-0.127348,-0.128212,-0.129169,-0.130217,-0.131355,-0.132579,-0.133886,-0.135271,-0.136729,-0.138255,-0.139843,-0.141486,-0.143177,-0.144909,-0.146675,-0.148467,-0.150278,-0.152099,-0.153923,-0.155743,-0.15755,-0.159337,-0.161097,-0.162824,-0.164511,-0.166151,-0.16774,-0.169273,-0.170744,-0.172149,-0.173487,-0.174753,-0.175945,-0.177063,-0.178105,-0.179071,-0.179961,-0.180777,-0.18152,-0.182193,-0.182798,-0.183339,-0.183819,-0.184243,-0.184615,-0.184941,-0.185226,-0.185475,-0.185695,-0.185892,-0.186071,-0.186239,-0.186403,-0.186568,-0.186741,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-1.5,-1.5,-1.50001,-1.50001,-1.50002,-1.50004,-1.50005,-1.50007,-1.50008,-1.5001,-1.50012,-1.50015,-1.50017,-1.50019,-1.50022,-1.50025,-1.50027,-1.5003,-1.50033,-1.50036,-1.50038,-1.50041,-1.50044,-1.50047,-1.50049,-1.50052,-1.50054,-1.50057,-1.50059,-1.50061,-1.50063,-1.50065,-1.50067,-1.50069,-1.5007,-1.50072,-1.50073,-1.50074,-1.50076,-1.50077,-1.50078,-1.50078,-1.50079,-1.5008,-1.50081,-1.50081,-1.50082,-1.50083,-1.50083,-1.50084,-1.50085,-1.50085,-1.50086,-1.50087,-1.50088,-1.50089,-1.5009,-1.50091,-1.50092,-1.50094,-1.50096,-1.50097,-1.50099,-1.50101,-1.50104,-1.50106,-1.50109,-1.50112,-1.50115,-1.50118,-1.50121,-1.50125,-1.50128,-1.50132,-1.50136,-1.5014,-1.50144,-1.50149,-1.50153,-1.50158,-1.50163,-1.50168,-1.50173,-1.50178,-1.50183,-1.50188,-1.50193,-1.50198,-1.50203,-1.50209,-1.50214,-1.50219,-1.50224,-1.5023,-1.50235,-1.5024,-1.50245,-1.5025,-1.50255,-1.5026,-1.50265,-1.50269,-1.50274,-1.50279,-1.50284,-1.50288,-1.50293,-1.50297,-1.50301,-1.50306,-1.5031,-1.50314,-1.50319,-1.50323,-1.50327,-1.50331,-1.50336,-1.5034,-1.50344,-1.50349,-1.50353,-1.50358,-1.50362,-1.50367,-1.50371,-1.50376,-1.50381,-1.50386,-1.50391,-1.50396,-1.50401,-1.50407,-1.50412,-1.50418,-1.50424,-1.50429,-1.50435,-1.50442,-1.50448,-1.50454,-1.50461,-1.50468,-1.50474,-1.50481,-1.50488,-1.50495,-1.50503,-1.5051,-1.50517,-1.50525,-1.50532,-1.5054,-1.50548,-1.50555,-1.50563,-1.50571,-1.50579,-1.50587,-1.50595,-1.50603,-1.50611,-1.50619,-1.50627,-1.50635,-1.50642,-1.5065,-1.50658,-1.50666,-1.50674,-1.50682,-1.5069,-1.50698,-1.50705,-1.50713,-1.50721,-1.50728,-1.50736,-1.50744,-1.50752,-1.50759,-1.50767,-1.50775,-1.50782,-1.5079,-1.50798,-1.50805,-1.50813,-1.50821,-1.50829,-1.50837,-1.50845,-1.50853,-1.50861,-1.50869,-1.50877,-1.50885,-1.50893,-1.50902,-1.5091,-1.50919,-1.50928,-1.50937,-1.50945,-1.50954,-1.50964,-1.50973,-1.50982,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.004905,-0.00972667,-0.0144334,-0.018995,-0.0233827,-0.0275697,-0.0315312,-0.0352445,-0.0386894,-0.0418479,-0.044705,-0.0472481,-0.0494674,-0.0513561,-0.0529102,-0.0541283,-0.0550121,-0.055566,-0.0557969,-0.0557146,-0.0553311,-0.0546611,-0.0537211,-0.05253,-0.0511083,-0.0494783,-0.0476638,-0.0456898,-0.0435821,-0.0413676,-0.0390736,-0.0367278,-0.0343579,-0.0319915,-0.0296558,-0.0273774,-0.0251822,-0.0230949,-0.0211392,-0.0193371,-0.0177094,-0.016275,-0.015051,-0.0140524,-0.0132924,-0.0127817,-0.0125292,-0.0125412,-0.0128218,-0.0133729,-0.014194,-0.0152825,-0.0166336,-0.0182401,-0.0200931,-0.0221816,-0.0244928,-0.0270121,-0.0297236,-0.0326097,-0.0356519,-0.0388302,-0.042124,-0.0455121,-0.0489725,-0.0524831,-0.0560214,-0.0595653,-0.0630926,-0.0665816,-0.0700115,-0.0733617,-0.076613,-0.0797471,-0.0827468,-0.0855963,-0.0882813,-0.0907891,-0.0931085,-0.09523,-0.0971461,-0.0988508,-0.10034,-0.101612,-0.102666,-0.103503,-0.104128,-0.104544,-0.104759,-0.10478,-0.104618,-0.104284,-0.10379,-0.10315,-0.102379,-0.101492,-0.100505,-0.0994363,-0.0983024,-0.0971214,-0.0959113,-0.0946899,-0.0934753,-0.092285,-0.091136,-0.0900451,-0.0890282,-0.0881002,-0.0872755,-0.086567,-0.0859868,-0.0855457,-0.0852532,-0.0851173,-0.0851447,-0.0853409,-0.0857094,-0.0862527,-0.0869716,-0.0878654,-0.0889321,-0.0901681,-0.0915685,-0.0931272,-0.0948367,-0.0966885,-0.0986728,-0.100779,-0.102996,-0.10531,-0.10771,-0.110182,-0.11271,-0.115283,-0.117884,-0.1205,-0.123115,-0.125717,-0.12829,-0.130821,-0.133298,-0.135707,-0.138037,-0.140278,-0.142419,-0.14445,-0.146365,-0.148156,-0.149817,-0.151344,-0.152733,-0.153982,-0.15509,-0.156056,-0.156882,-0.157571,-0.158125,-0.15855,-0.158851,-0.159035,-0.159109,-0.159082,-0.158962,-0.158759,-0.158484,-0.158147,-0.157759,-0.157332,-0.156878,-0.156407,-0.155932,-0.155464,-0.155015,-0.154596,-0.154216,-0.153887,-0.153618,-0.153419,-0.153297,-0.153259,-0.153314,-0.153467,-0.153722,-0.154084,-0.154556,-0.155141,-0.155839,-0.156651,-0.157577,-0.158614,-0.15976,-0.161012,-0.162366,-0.163816,-0.165357,-0.166982,-0.168684,-0.170456,-0.17229,-0.174177,-0.176108,-0.178074,-0.180066,-0.182074,-0.184089,-0.186102,-0.188103,
